word,pingjiaming,chinese,sentence,-
＊合＊う,＊あ＊,合適、符合,この靴、私に合うと、思いますか。,
＊会＊う,＊あ＊,見面、碰面、會面,今週の土曜日、友だちと会う約束しました。,
＊遭＊う,＊あ＊,（災害等）逼遇,気をつけないと、事故に遭うよ。,
＊上＊がる,＊あ＊,上、上升,事務所に階段を上がって右です。,
あきらめる,,放棄,最後まで、あきらめるな。,
＊開＊く,＊あ＊,（門、窗戶）開,窓が開いています。,
＊開＊ける,＊あ＊,（開窗戶）打開,ちょっと熱いですから、窓を開けましょう。,
＊上＊げる,＊あ＊,舉、抬、提高,彼に荷物を棚に上げるのを手伝ってもらった。,
＊挙＊げる,＊あ＊,舉起,わからない時は、手を挙げて質問してください。,
あげる,,送給（別人）,このケーキ、あなたにあげます。,
＊遊＊ぶ,＊あそ＊,玩,日曜日、友達と遊びにいきました。,
＊集＊まる,＊あつ＊,聚集、集合, 全員、会議室に集まってください。,
＊集＊める,＊あつ＊,收集,趣味は、外国の切手を集めることです。,
＊浴＊びる,＊あ＊,淋浴,夜寝る前に、シャワーを浴びます。,
＊謝＊る,＊あやま＊,道歉,彼女は頭を下げて、ごめんなさいと謝りました。,
＊洗＊う,＊あら＊,清洗,ご飯を食べる前に、てを洗います。,
ある,,（物品）有,机の上に、りんごがひとっあります。,
＊歩＊く,＊あそ＊,走路,できるだけブスに乗らないで、駅まで歩くように。,
＊言＊う,＊い＊,說、講,こんな時は何と言えばいいんですか。,
＊行＊く,＊い＊,去,週末、どこか、遊びに行きませんか。,
＊急＊ぐ,＊いそ＊,（時間）趕、急,急げば、九時のバスに間に合うかもしれません。,
いただく,,收到、接受（謙讓語）,課長にお土産をいただきました。,
いらっしゃる,,去、來、在（尊敬語）,社長を今、いらっしゃいまますか。,
＊要＊る,＊い＊,需要,この雑誌、まだいるんですが。,
いる,,（人、生物）有、在,山本さんは、会議室にいます。,
＊勉強＊します,＊べんきょう＊,讀書,明日、勉強します。,
＊働＊きます,＊はたら＊,工作,明日、働きます。,
バイトします,,打工,毎日、バイトします。,
＊一昨日＊,＊おととい＊,前天,一昨日、働きました。,
＊昨日＊,＊きのう＊,昨天,昨日、働きませんでした。,
＊今朝＊,＊けさ＊,今早,ー,
＊明日＊,＊あした＊,明,明日、勉強しません。,
＊明後日＊,＊あさって＊,後天,ー,
＊毎日＊,＊まいにち＊,每天,毎日、勉強します。,
＊宿題＊,＊しゅくだい＊,回家作業,ー,
＊居酒屋＊,＊いざかや＊,居酒屋,ー,
＊営業時間＊,＊えいぎょうじかん＊,營業時間,ー,
＊水族館＊,＊すいぞくかん＊,水族館,ー,
＊遊園地＊,＊ゆうえんち＊,遊樂園,ー,
＊東京＊,＊とうきょう＊,東京,ー,
＊大阪＊,＊おおさか＊,大阪,ー,
＊行＊きます,＊い＊,去,ー,
＊来＊ます,＊き＊,來,ー,
＊寝＊ます,＊ね＊,睡覺,ー,
